noc,noc_title,onet,onet_title
0124,"0124 Advertising, marketing and public relations managers",11-2011.00,Advertising and Promotions Managers
0124,"0124 Advertising, marketing and public relations managers",11-2011.01,Green Marketers
0124,"0124 Advertising, marketing and public relations managers",11-2021.00,Marketing Managers
0124,"0124 Advertising, marketing and public relations managers",11-2031.00,Public Relations and Fundraising Managers
0124,"0124 Advertising, marketing and public relations managers",11-2031.00,Public Relations and Fundraising Managers
0125,0125 Other business services managers,11-9199.02,Compliance Managers
0125,0125 Other business services managers,11-2011.01,Green Marketers
0125,0125 Other business services managers,11-9199.08,Loss Prevention Managers
0125,0125 Other business services managers,11-9199.00,"Managers, All Other"
0125,0125 Other business services managers,11-9199.07,Security Managers
0131,0131 Telecommunication carriers managers,15-1143.01,Telecommunications Engineering Specialists
0132,0132 Postal and courier services managers,11-9131.00,Postmasters and Mail Superintendents
0211,0211 Engineering managers,11-9041.00,Architectural and Engineering Managers
0212,0212 Architecture and science managers,11-9041.00,Architectural and Engineering Managers
0212,0212 Architecture and science managers,11-9121.00,Natural Sciences Managers
0213,0213 Computer and information systems managers,11-3021.00,Computer and Information Systems Managers
0213,0213 Computer and information systems managers,15-1199.09,Information Technology Project Managers
0311,0311 Managers in health care,15-2041.02,Clinical Data Managers
0311,0311 Managers in health care,11-9111.00,Medical and Health Services Managers
0411,0411 Government managers - health and social policy development and program administration,11-9199.00,"Managers, All Other"
0412,"0412 Government managers - economic analysis, policy development and program administration",11-9199.00,"Managers, All Other"
0413,0413 Government managers - education policy development and program administration,11-9199.00,"Managers, All Other"
0414,0414 Other managers in public administration,11-9199.00,"Managers, All Other"
0414,0414 Other managers in public administration,11-9199.01,Regulatory Affairs Managers
0421,0421 Administrators - post-secondary education and vocational training,11-9033.00,"Education Administrators, Postsecondary"
0422,0422 School principals and administrators of elementary and secondary education,11-9032.00,"Education Administrators, Elementary and Secondary School"
0422,0422 School principals and administrators of elementary and secondary education,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
0423,"0423 Managers in social, community and correctional services",21-2021.00,"Directors, Religious Activities and Education"
0423,"0423 Managers in social, community and correctional services",11-9151.00,Social and Community Service Managers
0431,0431 Commissioned police officers,33-1012.00,First-Line Supervisors of Police and Detectives
0432,0432 Fire chiefs and senior firefighting officers,33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers
0432,0432 Fire chiefs and senior firefighting officers,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
0433,0433 Commissioned officers of the Canadian Forces,55-1011.00,Air Crew Officers
0433,0433 Commissioned officers of the Canadian Forces,55-1012.00,Aircraft Launch and Recovery Officers
0433,0433 Commissioned officers of the Canadian Forces,55-1013.00,Armored Assault Vehicle Officers
0433,0433 Commissioned officers of the Canadian Forces,55-1014.00,Artillery and Missile Officers
0433,0433 Commissioned officers of the Canadian Forces,55-1015.00,Command and Control Center Officers
0433,0433 Commissioned officers of the Canadian Forces,55-1016.00,Infantry Officers
0433,0433 Commissioned officers of the Canadian Forces,55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other"
0433,0433 Commissioned officers of the Canadian Forces,55-1017.00,Special Forces Officers
0511,"0511 Library, archive, museum and art gallery managers",11-9199.00,"Managers, All Other"
0512,"0512 Managers - publishing, motion pictures, broadcasting and performing arts",11-9199.00,"Managers, All Other"
0512,"0512 Managers - publishing, motion pictures, broadcasting and performing arts",27-2012.03,Program Directors
0513,"0513 Recreation, sports and fitness program and service directors",39-1011.00,Gaming Supervisors
0513,"0513 Recreation, sports and fitness program and service directors",11-9199.00,"Managers, All Other"
0601,0601 Corporate sales managers,11-2022.00,Sales Managers
0621,0621 Retail and wholesale trade managers,11-1021.00,General and Operations Managers
0621,0621 Retail and wholesale trade managers,11-9199.00,"Managers, All Other"
0631,0631 Restaurant and food service managers,11-9051.00,Food Service Managers
0632,0632 Accommodation service managers,11-9081.00,Lodging Managers
0651,"0651 Managers in customer and personal services, n.e.c.",11-9199.00,"Managers, All Other"
0651,"0651 Managers in customer and personal services, n.e.c.",39-1021.01,Spa Managers
0711,0711 Construction managers,11-9021.00,Construction Managers
0712,0712 Home building and renovation managers,11-9021.00,Construction Managers
0714,0714 Facility operation and maintenance managers,11-9141.00,"Property, Real Estate, and Community Association Managers"
0731,0731 Managers in transportation,43-5011.01,Freight Forwarders
0731,0731 Managers in transportation,11-3071.03,Logistics Managers
0731,0731 Managers in transportation,11-3071.02,Storage and Distribution Managers
0731,0731 Managers in transportation,11-3071.01,Transportation Managers
0731,0731 Managers in transportation,11-3071.00,"Transportation, Storage, and Distribution Managers"
0811,0811 Managers in natural resources production and fishing,11-9199.00,"Managers, All Other"
0821,0821 Managers in agriculture,11-9013.02,Farm and Ranch Managers
0821,0821 Managers in agriculture,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
0822,0822 Managers in horticulture,11-9013.01,Nursery and Greenhouse Managers
0823,0823 Managers in aquaculture,11-9013.03,Aquacultural Managers
0911,0911 Manufacturing managers,11-3051.00,Industrial Production Managers
0911,0911 Manufacturing managers,11-3071.03,Logistics Managers
0912,0912 Utilities managers,11-3051.03,Biofuels Production Managers
0912,0912 Utilities managers,11-3051.04,Biomass Power Plant Managers
0912,0912 Utilities managers,11-3051.02,Geothermal Production Managers
0912,0912 Utilities managers,11-3051.06,Hydroelectric Production Managers
0912,0912 Utilities managers,11-3051.05,Methane/Landfill Gas Collection System Operators
0912,0912 Utilities managers,11-3071.00,"Transportation, Storage, and Distribution Managers"
0912,0912 Utilities managers,11-9199.09,Wind Energy Operations Managers
1111,1111 Financial auditors and accountants,13-2011.01,Accountants
1111,1111 Financial auditors and accountants,13-2011.00,Accountants and Auditors
1111,1111 Financial auditors and accountants,13-2011.02,Auditors
1112,1112 Financial and investment analysts,13-2051.00,Financial Analysts
1113,"1113 Securities agents, investment dealers and brokers",41-3031.01,"Sales Agents, Securities and Commodities"
1113,"1113 Securities agents, investment dealers and brokers",41-3031.03,Securities and Commodities Traders
1113,"1113 Securities agents, investment dealers and brokers",41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
1114,1114 Other financial officers,13-2099.01,Financial Quantitative Analysts
1114,1114 Other financial officers,13-2099.00,"Financial Specialists, All Other"
1114,1114 Other financial officers,13-2099.04,"Fraud Examiners, Investigators and Analysts"
1114,1114 Other financial officers,13-2099.03,Investment Underwriters
1121,1121 Human resources professionals,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
1121,1121 Human resources professionals,13-1041.03,Equal Opportunity Representatives and Officers
1121,1121 Human resources professionals,13-1071.00,Human Resources Specialists
1121,1121 Human resources professionals,13-1075.00,Labor Relations Specialists
1121,1121 Human resources professionals,13-1151.00,Training and Development Specialists
1122,1122 Professional occupations in business management consulting,13-1041.00,Compliance Officers
1122,1122 Professional occupations in business management consulting,13-1081.00,Logisticians
1122,1122 Professional occupations in business management consulting,13-1081.02,Logistics Analysts
1122,1122 Professional occupations in business management consulting,13-1111.00,Management Analysts
1122,1122 Professional occupations in business management consulting,13-1041.07,Regulatory Affairs Specialists
1123,"1123 Professional occupations in advertising, marketing and public relations",11-2011.00,Advertising and Promotions Managers
1123,"1123 Professional occupations in advertising, marketing and public relations",11-2011.01,Green Marketers
1123,"1123 Professional occupations in advertising, marketing and public relations",15-1199.10,Search Marketing Strategists
1211,"1211 Supervisors, general office and administrative support workers",43-1011-00,First-Line Supervisors of Office and Administrative Support Workers
1212,"1212 Supervisors, finance and insurance office workers",43-1011-00,First-Line Supervisors of Office and Administrative Support Workers
1213,"1213 Supervisors, library, correspondence and related information workers",25-4011.00,Archivists
1214,"1214 Supervisors, mail and message distribution occupations",11-9131.00,Postmasters and Mail Superintendents
1215,"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",11-3071.03,Logistics Managers
1221,1221 Administrative officers,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
1222,1222 Executive assistants,43-6011.00,Executive Secretaries and Executive Administrative Assistants
1223,1223 Human resources and recruitment officers,13-1071.00,Human Resources Specialists
1224,1224 Property administrators,11-9141.00,"Property, Real Estate, and Community Association Managers"
1225,1225 Purchasing agents and officers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1226,1226 Conference and event planners,13-1121.00,"Meeting, Convention, and Event Planners"
1227,1227 Court officers and justices of the peace,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
1228,"1228 Employment insurance, immigration, border services and revenue officers",13-1041.00,Compliance Officers
1228,"1228 Employment insurance, immigration, border services and revenue officers",13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
1241,1241 Administrative assistants,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
1242,1242 Legal administrative assistants,23-2011.00,Paralegals and Legal Assistants
1243,1243 Medical administrative assistants,31-9092.00,Medical Assistants
1251,"1251 Court reporters, medical transcriptionists and related occupations",23-2091.00,Court Reporters
1251,"1251 Court reporters, medical transcriptionists and related occupations",31-9094.00,Medical Transcriptionists
1252,1252 Health information management occupations,29-2071.00,Medical Records and Health Information Technicians
1253,1253 Records management technicians,15-1199.12,Document Management Specialists
1253,1253 Records management technicians,43-4071.00,File Clerks
1253,1253 Records management technicians,43-9071.00,"Office Machine Operators, Except Computer"
1254,1254 Statistical officers and related research support occupations,43-9111.01,Bioinformatics Technicians
1254,1254 Statistical officers and related research support occupations,19-4061.00,Social Science Research Assistants
1254,1254 Statistical officers and related research support occupations,43-9111.00,Statistical Assistants
1311,1311 Accounting technicians and bookkeepers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
1312,1312 Insurance adjusters and claims examiners,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
1313,1313 Insurance underwriters,13-2053.00,Insurance Underwriters
1314,"1314 Assessors, valuators and appraisers",13-2021.00,Appraisers and Assessors of Real Estate
1314,"1314 Assessors, valuators and appraisers",13-2021.02,"Appraisers, Real Estate"
1314,"1314 Assessors, valuators and appraisers",13-2021.01,Assessors
1315,"1315 Customs, ship and other brokers",13-1199.03,Customs Brokers
1411,1411 General office support workers,43-9061.00,"Office Clerks, General"
1414,1414 Receptionists,43-4171.00,Receptionists and Information Clerks
1415,1415 Personnel clerks,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
1416,1416 Court clerks,43-4031.01,Court Clerks
1416,1416 Court clerks,43-4031.00,"Court, Municipal, and License Clerks"
1416,1416 Court clerks,43-4031.03,License Clerks
1416,1416 Court clerks,43-4031.02,Municipal Clerks
1422,1422 Data entry clerks,43-9021.00,Data Entry Keyers
1423,1423 Desktop publishing operators and related occupations,43-9031.00,Desktop Publishers
1431,1431 Accounting and related clerks,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
1432,1432 Payroll clerks,43-3051.00,Payroll and Timekeeping Clerks
1434,"1434 Banking, insurance and other financial clerks",43-9041.00,Insurance Claims and Policy Processing Clerks
1434,"1434 Banking, insurance and other financial clerks",43-9041.01,Insurance Claims Clerks
1434,"1434 Banking, insurance and other financial clerks",43-9041.02,Insurance Policy Processing Clerks
1435,1435 Collectors,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
1451,1451 Library assistants and clerks,43-4121.00,"Library Assistants, Clerical"
1452,"1452 Correspondence, publication and regulatory clerks",43-4021.00,Correspondence Clerks
1454,1454 Survey interviewers and statistical clerks,43-5041.00,"Meter Readers, Utilities"
1454,1454 Survey interviewers and statistical clerks,43-9111.00,Statistical Assistants
1511,"1511 Mail, postal and related workers",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
1512,1512 Letter carriers,43-5052.00,Postal Service Mail Carriers
1513,"1513 Couriers, messengers and door-to-door distributors",43-5021.00,Couriers and Messengers
1521,1521 Shippers and receivers,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
1522,1522 Storekeepers and partspersons,43-5081.00,Stock Clerks and Order Fillers
1523,1523 Production logistics co-ordinators,43-5061.00,"Production, Planning, and Expediting Clerks"
1524,1524 Purchasing and inventory control workers,43-3061.00,Procurement Clerks
1525,1525 Dispatchers,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
1525,1525 Dispatchers,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
1525,1525 Dispatchers,27-4013.00,Radio Operators
1526,1526 Transportation route and crew schedulers,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
2111,2111 Physicists and astronomers,19-2011.00,Astronomers
2111,2111 Physicists and astronomers,19-2021.00,Atmospheric and Space Scientists
2111,2111 Physicists and astronomers,19-2012.00,Physicists
2111,2111 Physicists and astronomers,19-2099.01,Remote Sensing Scientists and Technologists
2112,2112 Chemists,19-2031.00,Chemists
2113,2113 Geoscientists and oceanographers,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
2114,2114 Meteorologists and climatologists,19-2021.00,Atmospheric and Space Scientists
2115,2115 Other professional occupations in physical sciences,19-2099.00,"Physical Scientists, All Other"
2121,2121 Biologists and related scientists,19-2041.00,"Environmental Scientists and Specialists, Including Health"
2121,2121 Biologists and related scientists,19-2041.03,Industrial Ecologists
2121,2121 Biologists and related scientists,19-1022.00,Microbiologists
2121,2121 Biologists and related scientists,19-1031.03,Park Naturalists
2121,2121 Biologists and related scientists,19-1023.00,Zoologists and Wildlife Biologists
2122,2122 Forestry professionals,19-1032.00,Foresters
2123,"2123 Agricultural representatives, consultants and specialists",19-4011.01,Agricultural Technicians
2131,2131 Civil engineers,17-2051.00,Civil Engineers
2131,2131 Civil engineers,17-2051.01,Transportation Engineers
2132,2132 Mechanical engineers,17-2141.02,Automotive Engineers
2132,2132 Mechanical engineers,17-2141.00,Mechanical Engineers
2132,2132 Mechanical engineers,17-2199.05,Mechatronics Engineers
2132,2132 Mechanical engineers,17-2199.08,Robotics Engineers
2133,2133 Electrical and electronics engineers,17-2071.00,Electrical Engineers
2133,2133 Electrical and electronics engineers,17-2072.00,"Electronics Engineers, Except Computer"
2134,2134 Chemical engineers,17-2199.01,Biochemical Engineers
2134,2134 Chemical engineers,17-2041.00,Chemical Engineers
2134,2134 Chemical engineers,17-2141.01,Fuel Cell Engineers
2141,2141 Industrial and manufacturing engineers,17-2111.02,Fire-Prevention and Protection Engineers
2141,2141 Industrial and manufacturing engineers,17-2112.00,Industrial Engineers
2141,2141 Industrial and manufacturing engineers,17-2199.04,Manufacturing Engineers
2141,2141 Industrial and manufacturing engineers,17-2111.03,Product Safety Engineers
2142,2142 Metallurgical and materials engineers,17-2131.00,Materials Engineers
2143,2143 Mining engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2144,2144 Geological engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2145,2145 Petroleum engineers,17-2171.00,Petroleum Engineers
2146,2146 Aerospace engineers,17-2011.00,Aerospace Engineers
2147,2147 Computer engineers (except software engineers and designers),17-2061.00,Computer Hardware Engineers
2147,2147 Computer engineers (except software engineers and designers),15-1199.02,Computer Systems Engineers/Architects
2148,"2148 Other professional engineers, n.e.c.",17-2021.00,Agricultural Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2031.00,Biomedical Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.03,Energy Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.00,"Engineers, All Other"
2148,"2148 Other professional engineers, n.e.c.",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
2148,"2148 Other professional engineers, n.e.c.",17-2111.01,Industrial Safety and Health Engineers
2148,"2148 Other professional engineers, n.e.c.",13-1081.01,Logistics Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2121.02,Marine Architects
2148,"2148 Other professional engineers, n.e.c.",17-2121.01,Marine Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2121.00,Marine Engineers and Naval Architects
2148,"2148 Other professional engineers, n.e.c.",17-2199.06,Microsystems Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.09,Nanosystems Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2161.00,Nuclear Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.07,Photonics Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.11,Solar Energy Systems Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.02,Validation Engineers
2148,"2148 Other professional engineers, n.e.c.",17-2199.10,Wind Energy Engineers
2151,2151 Architects,17-1011.00,"Architects, Except Landscape and Naval"
2152,2152 Landscape architects,17-1012.00,Landscape Architects
2153,2153 Urban and land use planners,19-4061.01,City and Regional Planning Aides
2153,2153 Urban and land use planners,19-3051.00,Urban and Regional Planners
2154,2154 Land surveyors,17-1022.01,Geodetic Surveyors
2154,2154 Land surveyors,17-1022.00,Surveyors
2161,"2161 Mathematicians, statisticians and actuaries",15-2011.00,Actuaries
2161,"2161 Mathematicians, statisticians and actuaries",15-2041.01,Biostatisticians
2161,"2161 Mathematicians, statisticians and actuaries",15-2021.00,Mathematicians
2161,"2161 Mathematicians, statisticians and actuaries",15-2041.00,Statisticians
2171,2171 Information systems analysts and consultants,13-1199.04,Business Continuity Planners
2171,2171 Information systems analysts and consultants,15-1199.08,Business Intelligence Analysts
2171,2171 Information systems analysts and consultants,15-1111.00,Computer and Information Research Scientists
2171,2171 Information systems analysts and consultants,15-1121.00,Computer Systems Analysts
2171,2171 Information systems analysts and consultants,15-1199.04,Geospatial Information Scientists and Technologists
2171,2171 Information systems analysts and consultants,15-1121.01,Informatics Nurse Specialists
2171,2171 Information systems analysts and consultants,15-1122.00,Information Security Analysts
2171,2171 Information systems analysts and consultants,15-1199.01,Software Quality Assurance Engineers and Testers
2172,2172 Database analysts and data administrators,15-1199.07,Data Warehousing Specialists
2172,2172 Database analysts and data administrators,15-1141.00,Database Administrators
2172,2172 Database analysts and data administrators,15-1199.06,Database Architects
2173,2173 Software engineers and designers,15-1132.00,"Software Developers, Applications"
2173,2173 Software engineers and designers,15-1133.00,"Software Developers, Systems Software"
2174,2174 Computer programmers and interactive media developers,15-1131.00,Computer Programmers
2175,2175 Web designers and developers,15-1199.03,Web Administrators
2175,2175 Web designers and developers,15-1134.00,Web Developers
2211,2211 Chemical technologists and technicians,19-4031.00,Chemical Technicians
2211,2211 Chemical technologists and technicians,17-3029.10,Fuel Cell Technicians
2212,2212 Geological and mineral technologists and technicians,19-4041.00,Geological and Petroleum Technicians
2212,2212 Geological and mineral technologists and technicians,19-4041.02,Geological Sample Test Technicians
2212,2212 Geological and mineral technologists and technicians,19-4041.01,Geophysical Data Technicians
2221,2221 Biological technologists and technicians,19-4021.00,Biological Technicians
2222,2222 Agricultural and fish products inspectors,45-2011.00,Agricultural Inspectors
2223,2223 Forestry technologists and technicians,19-4093.00,Forest and Conservation Technicians
2223,2223 Forestry technologists and technicians,33-1021.02,Forest Fire Fighting and Prevention Supervisors
2223,2223 Forestry technologists and technicians,19-1031.02,Range Managers
2224,2224 Conservation and fishery officers,19-2041.01,Climate Change Analysts
2224,2224 Conservation and fishery officers,19-1031.00,Conservation Scientists
2224,2224 Conservation and fishery officers,19-2041.02,Environmental Restoration Planners
2224,2224 Conservation and fishery officers,33-3031.00,Fish and Game Wardens
2224,2224 Conservation and fishery officers,19-4093.00,Forest and Conservation Technicians
2224,2224 Conservation and fishery officers,19-1031.01,Soil and Water Conservationists
2225,2225 Landscape and horticulture technicians and specialists,37-3011.00,Landscaping and Groundskeeping Workers
2231,2231 Civil engineering technologists and technicians,17-3022.00,Civil Engineering Technicians
2232,2232 Mechanical engineering technologists and technicians,17-3027.00,Mechanical Engineering Technicians
2232,2232 Mechanical engineering technologists and technicians,17-3029.07,Mechanical Engineering Technologists
2233,2233 Industrial engineering and manufacturing technologists and technicians,17-3026.00,Industrial Engineering Technicians
2233,2233 Industrial engineering and manufacturing technologists and technicians,17-3029.05,Industrial Engineering Technologists
2233,2233 Industrial engineering and manufacturing technologists and technicians,17-3029.06,Manufacturing Engineering Technologists
2233,2233 Industrial engineering and manufacturing technologists and technicians,17-3029.09,Manufacturing Production Technicians
2234,2234 Construction estimators,13-1051.00,Cost Estimators
2241,2241 Electrical and electronics engineering technologists and technicians,17-3023.00,Electrical and Electronic Engineering Technicians
2241,2241 Electrical and electronics engineering technologists and technicians,17-3023.03,Electrical Engineering Technicians
2241,2241 Electrical and electronics engineering technologists and technicians,17-3029.02,Electrical Engineering Technologists
2241,2241 Electrical and electronics engineering technologists and technicians,17-3029.03,Electromechanical Engineering Technologists
2241,2241 Electrical and electronics engineering technologists and technicians,17-3023.01,Electronics Engineering Technicians
2241,2241 Electrical and electronics engineering technologists and technicians,17-3029.04,Electronics Engineering Technologists
2241,2241 Electrical and electronics engineering technologists and technicians,55-3017.00,Radar and Sonar Technicians
2242,2242 Electronic service technicians (household and business equipment),49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
2242,2242 Electronic service technicians (household and business equipment),49-2098.00,Security and Fire Alarm Systems Installers
2243,2243 Industrial instrument technicians and mechanics,49-9041.00,Industrial Machinery Mechanics
2244,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",17-3021.00,Aerospace Engineering and Operations Technicians
2244,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-3011.00,Aircraft Mechanics and Service Technicians
2244,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-2091.00,Avionics Technicians
2251,2251 Architectural technologists and technicians,17-3011.00,Architectural and Civil Drafters
2251,2251 Architectural technologists and technicians,17-3011.01,Architectural Drafters
2251,2251 Architectural technologists and technicians,17-3011.02,Civil Drafters
2252,2252 Industrial designers,27-1021.00,Commercial and Industrial Designers
2253,2253 Drafting technologists and technicians,17-3011.00,Architectural and Civil Drafters
2253,2253 Drafting technologists and technicians,17-3011.01,Architectural Drafters
2253,2253 Drafting technologists and technicians,17-3011.02,Civil Drafters
2253,2253 Drafting technologists and technicians,17-3012.00,Electrical and Electronics Drafters
2253,2253 Drafting technologists and technicians,17-3012.02,Electrical Drafters
2253,2253 Drafting technologists and technicians,17-3012.01,Electronic Drafters
2253,2253 Drafting technologists and technicians,17-3013.00,Mechanical Drafters
2254,2254 Land survey technologists and technicians,17-3031.00,Surveying and Mapping Technicians
2254,2254 Land survey technologists and technicians,17-3031.01,Surveying Technicians
2255,2255 Technical occupations in geomatics and meteorology,15-1199.05,Geographic Information Systems Technicians
2255,2255 Technical occupations in geomatics and meteorology,15-1199.04,Geospatial Information Scientists and Technologists
2255,2255 Technical occupations in geomatics and meteorology,17-3031.02,Mapping Technicians
2255,2255 Technical occupations in geomatics and meteorology,19-4099.03,Remote Sensing Technicians
2261,2261 Non-destructive testers and inspection technicians,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
2261,2261 Non-destructive testers and inspection technicians,17-3029.01,Non-Destructive Testing Specialists
2262,2262 Engineering inspectors and regulatory officers,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
2263,2263 Inspectors in public and environmental health and occupational health and safety,13-1041.01,Environmental Compliance Inspectors
2264,2264 Construction inspectors,47-4011.00,Construction and Building Inspectors
2271,"2271 Air pilots, flight engineers and flying instructors",53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2272,2272 Air traffic controllers and related occupations,53-2021.00,Air Traffic Controllers
2273,"2273 Deck officers, water transport",53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
2273,"2273 Deck officers, water transport",53-5021.02,"Mates- Ship, Boat, and Barge"
2273,"2273 Deck officers, water transport",53-5021.03,"Pilots, Ship"
2273,"2273 Deck officers, water transport",53-5021.01,Ship and Boat Captains
2274,"2274 Engineer officers, water transport",53-5031.00,Ship Engineers
2275,2275 Railway traffic controllers and marine traffic regulators,53-4031.00,Railroad Conductors and Yardmasters
2281,2281 Computer network technicians,15-1142.00,Network and Computer Systems Administrators
2281,2281 Computer network technicians,15-1199.03,Web Administrators
2282,2282 User support technicians,15-1151.00,Computer User Support Specialists
2283,2283 Information systems testing technicians,15-1199.01,Software Quality Assurance Engineers and Testers
3011,3011 Nursing co-ordinators and supervisors,43-4051.03,Patient Representatives
3012,3012 Registered nurses and registered psychiatric nurses,29-1141.00,Registered Nurses
3012,3012 Registered nurses and registered psychiatric nurses,29-1141.02,Advanced Practice Psychiatric Nurses
3111,3111 Specialist physicians,29-1066.00,Psychiatrists
3111,3111 Specialist physicians,29-1069.10,Radiologists
3111,3111 Specialist physicians,29-1065.00,"Paediatricians, General"
3111,3111 Specialist physicians,29-1061.00,Anesthesiologists
3111,3111 Specialist physicians,29-1069.04,Neurologists
3111,3111 Specialist physicians,29-1069.12,Urologists
3111,3111 Specialist physicians,29-1064.00,Obstetricians and Gynecologists
3112,3112 General practitioners and family physicians,29-1062.00,Family and General Practitioners
3113,3113 Dentists,29-1021.00,"Dentists, General"
3114,3114 Veterinarians,29-1131.00,Veterinarians
3121,3121 Optometrists,29-1041.00,Optometrists
3122,3122 Chiropractors,29-1011.00,Chiropractors
3124,3124 Allied primary health practitioners,29-9099.01,Midwives
3125,3125 Other professional occupations in health diagnosing and treating,29-1199.00,"Health Diagnosing and Treating Practitioners, All Other"
3125,3125 Other professional occupations in health diagnosing and treating,29-1199.04,Naturopathic Physicians
3125,3125 Other professional occupations in health diagnosing and treating,29-1199.05,Orthoptists
3125,3125 Other professional occupations in health diagnosing and treating,29-1081.00,Podiatrists
3131,3131 Pharmacists,29-1051.00,Pharmacists
